"","time","n.risk","n.event","n.censor","estimate","std.error","conf.high","conf.low"
"1",0,305,1,0,0.99672131147541,0.00328407667699193,1,0.990326346533611
"2",0.05,304,2,0,0.99016393442623,0.00570699163794126,1,0.979150169702683
"3",0.06,302,1,0,0.986885245901639,0.00660080386183839,0.999735860870564,0.974199812868807
"4",0.07,301,1,0,0.983606557377049,0.00739221270954573,0.997961249805752,0.969458343100442
"5",0.09,300,1,0,0.980327868852459,0.00811129340863753,0.996037511191614,0.964866001180073
"6",0.1,299,2,0,0.973770491803279,0.0093975976937302,0.991872523209546,0.955998829001208
"7",0.13,297,1,0,0.970491803278689,0.00998448064689468,0.989670618488164,0.951684654102303
"8",0.14,296,1,0,0.967213114754098,0.0105423898564041,0.98740625748892,0.947432935792209
"9",0.15,295,1,0,0.963934426229508,0.0110757401390392,0.985088339072299,0.943234775213613
"10",0.17,294,1,0,0.960655737704918,0.0115879574855229,0.982723786884757,0.939083248723279
"11",0.21,293,2,0,0.954098360655738,0.0125593627325722,0.977875800064003,0.930899079153391
"12",0.27,291,3,0,0.944262295081967,0.0139116389268863,0.970363063536584,0.918863583557917
"13",0.28,288,1,0,0.940983606557377,0.0143398756236282,0.967805713463093,0.914904856927666
"14",0.29,287,1,0,0.937704918032787,0.0147585558884781,0.965225305413437,0.910969188614722
"15",0.34,286,1,0,0.934426229508197,0.0151685004280053,0.962623526532538,0.907054891477755
"16",0.37,285,1,0,0.931147540983607,0.0155704282527237,0.96000185728812,0.903160485052686
"17",0.38,284,1,0,0.927868852459017,0.0159649735359466,0.957361605395738,0.899284661627652
"18",0.39,283,3,0,0.918032786885246,0.0171096477707289,0.949340372760095,0.887757670461223
"19",0.4,280,1,0,0.914754098360656,0.0174797272888006,0.946636258001404,0.883945711348799
"20",0.44,279,2,0,0.908196721311476,0.0182049383041782,0.941187176355782,0.876362646370269
"21",0.45,277,1,0,0.904918032786885,0.0185607079931488,0.938443533335773,0.872590216645346
"22",0.46,276,1,0,0.901639344262295,0.0189123005415384,0.935687944224721,0.868829733395066
"23",0.61,275,1,0,0.898360655737705,0.0192599717524763,0.932920939897563,0.865080665748692
"24",0.67,274,1,0,0.895081967213115,0.0196039572131113,0.9301430091936,0.861342524871187
"25",0.69,273,1,0,0.891803278688525,0.0199444745141388,0.927354603445186,0.857614859434524
"26",0.79,272,1,0,0.888524590163935,0.0202817251677179,0.924556140395638,0.853897251699777
"27",0.8,271,1,0,0.885245901639344,0.0206158962723802,0.921748007604249,0.850189314112106
"28",0.81,270,1,0,0.881967213114754,0.0209471619645465,0.918930565418269,0.846490686328783
"29",0.87,269,1,0,0.878688524590164,0.0212756846891452,0.9161041495774,0.842801032614695
"30",0.88,268,1,0,0.875409836065574,0.0216016163161408,0.913269073504944,0.839120039551199
"31",0.93,267,1,0,0.872131147540984,0.0219250991252135,0.910425630330542,0.83544741401338
"32",0.96,266,1,0,0.868852459016394,0.0222462666771351,0.907574094682028,0.831782881378206
"33",0.97,265,1,0,0.865573770491804,0.0225652445873876,0.904714724277846,0.828126183932103
"34",0.99,264,1,0,0.862295081967213,0.0228821512151093,0.901847761346562,0.824477079451452
"35",1.02,263,2,0,0.855737704918033,0.023510191405663,0.896091956850381,0.817200750458975
"36",1.03,261,1,0,0.852459016393443,0.0238215306301607,0.893203533073864,0.813573108169045
"37",1.13,260,2,0,0.845901639344263,0.0244393221603607,0.887406601918865,0.806337908573204
"38",1.16,258,2,0,0.839344262295082,0.0250511771262317,0.881584054991805,0.799128326628168
"39",1.19,256,1,0,0.836065573770492,0.0253550804151913,0.878663578174362,0.795532739727913
"40",1.24,255,1,0,0.832786885245902,0.0256577346900615,0.875737164430426,0.791943090240599
"41",1.28,254,1,0,0.829508196721312,0.0259592111854407,0.872804953654973,0.788359238277018
"42",1.29,253,1,0,0.826229508196722,0.0262595781318704,0.86986707904897,0.784781050642066
"43",1.34,252,1,0,0.822950819672131,0.0265589009642673,0.866923667552036,0.781208400402083
"44",1.35,251,1,0,0.819672131147541,0.0268572425131441,0.863974840239419,0.777641166487869
"45",1.47,250,1,0,0.816393442622951,0.0271546631803443,0.861020712686836,0.774079233329858
"46",1.48,249,1,0,0.813114754098361,0.0274512211008174,0.858061395306278,0.770522490522305
"47",1.55,248,1,0,0.809836065573771,0.027746972291788,0.855096993655589,0.766970832513718
"48",1.56,247,2,0,0.80327868852459,0.0283362687817408,0.849153337197589,0.759882371265582
"49",1.57,245,1,0,0.8,0.0286299167156934,0.846174271701376,0.756345378728157
"50",1.58,244,1,0,0.79672131147541,0.0289229634176444,0.843190501028535,0.752813091922647
"51",1.6,243,1,0,0.79344262295082,0.0292154561896355,0.840202110349562,0.74928542568544
"52",1.61,242,1,0,0.79016393442623,0.0295074409051485,0.837209181408063,0.745762298279934
"53",1.63,241,1,0,0.78688524590164,0.029798962097303,0.834211792702653,0.742243631214631
"54",1.69,240,3,0,0.777049180327869,0.0306711714499179,0.82519360779306,0.731713652342826
"55",1.71,237,1,0,0.773770491803279,0.0309612598419873,0.822179105814334,0.728212100929615
"56",1.75,236,2,0,0.767213114754099,0.0315406998799029,0.816137832880937,0.721221268928182
"57",1.77,234,1,0,0.763934426229509,0.0318301267508012,0.813111184089795,0.717731866192311
"58",1.78,233,3,0,0.754098360655738,0.0326976690662554,0.804007875915825,0.707287023645037
"59",1.8,230,1,0,0.750819672131148,0.0329867200928506,0.800965831839543,0.703813018795609
